date;good score;bad score;final score
2023-08-21 00:00:00.000000;0;-1;-1.0
2023-08-22 00:00:00.000000;2;-1;1.0
2023-08-23 00:00:00.000000;1;-1;0.0
2023-08-24 00:00:00.000000;1;-1;0.0
2023-08-25 00:00:00.000000;1;-1;0.0
2023-08-26 00:00:00.000000;1;-1;0.0
2023-08-27 00:00:00.000000;0;-1;-1.0
2023-08-28 00:00:00.000000;0;-1;-1.0
2023-08-29 00:00:00.000000;1;-1;0.0
2023-08-30 22:20:45.302573;1;0;1.0
